文部科学省　学校コード一覧,,,,,,,,,,更新日：,2026/5/20
学校コード,学校種,都道府県番号,"設置
区分",本分校,学校名,学校所在地,郵便番号,"属性情報
設定年月日","属性情報
廃止年月日","旧学校
調査番号",移行後の学校コード
A122210000499,A1(幼稚園),22(静岡),2(公),1(本),松崎町立松崎幼稚園,静岡県賀茂郡松崎町岩科北側４４７－２,4103613,2020-12-22,,226679,
A122210000505,A1(幼稚園),22(静岡),2(公),9(廃),伊豆の国市立長岡幼稚園,静岡県伊豆の国市長岡１２１２,4102211,2020-12-22,2024-05-01,226700,A222210000880
A122210000514,A1(幼稚園),22(静岡),2(公),9(廃),沼津市立戸田幼稚園,静岡県沼津市戸田１０３１－１,4103402,2020-12-22,2021-05-27,226701,A222210000791
A122210000523,A1(幼稚園),22(静岡),2(公),1(本),函南町立春光幼稚園,静岡県田方郡函南町仁田６１３－２,4190114,2020-12-22,,226710,
A122210000532,A1(幼稚園),22(静岡),2(公),1(本),函南町立丹那幼稚園,静岡県田方郡函南町丹那４４５－１,4190105,2020-12-22,,226711,
A122210000541,A1(幼稚園),22(静岡),2(公),1(本),函南町立二葉こども園,静岡県田方郡函南町上沢６５８－３５,4190122,2020-12-22,,226712,
A122210000550,A1(幼稚園),22(静岡),2(公),1(本),函南町立間宮幼稚園,静岡県田方郡函南町間宮８６５－５,4190123,2020-12-22,,226713,
A122210000569,A1(幼稚園),22(静岡),2(公),1(本),函南町立みのり幼稚園,静岡県田方郡函南町肥田６７７－１,4190125,2020-12-22,,226714,
A122210000578,A1(幼稚園),22(静岡),2(公),1(本),函南町立自由ケ丘幼稚園,静岡県田方郡函南町平井１０４１－１,4190107,2020-12-22,,226715,
A122210000587,A1(幼稚園),22(静岡),2(公),9(廃),伊豆の国市立共和幼稚園,静岡県伊豆の国市中７７３－１,4102113,2020-12-22,2026-05-01,226720,
A122210000596,A1(幼稚園),22(静岡),2(公),1(本),伊豆の国市立富士美幼稚園,静岡県伊豆の国市原木１３４３,4102124,2020-12-22,,226721,
A122210000603,A1(幼稚園),22(静岡),2(公),1(本),伊豆の国市立のぞみ幼稚園,静岡県伊豆の国市吉田４１６－１,4102322,2020-12-22,,226733,
A122210000612,A1(幼稚園),22(静岡),2(公),9(廃),伊豆の国市立田京幼稚園,静岡県伊豆の国市田京２３８－２１,4102315,2020-12-22,2026-05-01,226734,
A122210000621,A1(幼稚園),22(静岡),2(公),1(本),清水町立清水幼稚園,静岡県駿東郡清水町堂庭９５－１,4110903,2020-12-22,,226755,
A122210000630,A1(幼稚園),22(静岡),2(公),1(本),清水町立清水北幼稚園,静岡県駿東郡清水町伏見６４７－２,4110907,2020-12-22,,226756,
A122210000649,A1(幼稚園),22(静岡),2(公),1(本),清水町立清水南幼稚園,静岡県駿東郡清水町中徳倉３０,4110916,2020-12-22,,226757,
A122210000658,A1(幼稚園),22(静岡),2(公),1(本),清水町立清水西幼稚園,静岡県駿東郡清水町長沢２３８－１,4110905,2020-12-22,,226758,
A122210000667,A1(幼稚園),22(静岡),2(公),1(本),長泉町立長泉幼稚園,静岡県駿東郡長泉町下土狩８３０,4110943,2020-12-22,,226760,
A122210000676,A1(幼稚園),22(静岡),2(公),9(廃),長泉町立南幼稚園,静岡県駿東郡長泉町竹原８８,4110944,2020-12-22,2021-05-27,226761,A222210000844
A122210000685,A1(幼稚園),22(静岡),2(公),1(本),長泉町立東幼稚園,静岡県駿東郡長泉町下土狩１６２－１,4110943,2020-12-22,,226763,
A122210000694,A1(幼稚園),22(静岡),2(公),1(本),長泉町立桃沢幼稚園,静岡県駿東郡長泉町元長窪２４,4110936,2020-12-22,,226764,
A122210000701,A1(幼稚園),22(静岡),2(公),9(廃),裾野市立富岡第一幼稚園,静岡県裾野市御宿６８２－１４,4101107,2020-12-22,2026-05-01,226770,
A122210000710,A1(幼稚園),22(静岡),2(公),9(廃),裾野市立富岡第二幼稚園,静岡県裾野市下和田８９０,4101105,2020-12-22,2022-05-01,226771,
A122210000729,A1(幼稚園),22(静岡),2(公),1(本),裾野市立須山幼稚園,静岡県裾野市須山１５８－１,4101231,2020-12-22,,226772,
A122210000738,A1(幼稚園),22(静岡),2(公),1(本),裾野市立いずみ幼稚園,静岡県裾野市稲荷１２３－１,4101113,2020-12-22,,226773,
A122210000747,A1(幼稚園),22(静岡),2(公),1(本),裾野市立西幼稚園,静岡県裾野市佐野１４７０,4101118,2020-12-22,,226774,
A122210000756,A1(幼稚園),22(静岡),2(公),9(廃),裾野市立深良幼稚園,静岡県裾野市深良６９６,4101102,2020-12-22,2026-05-01,226775,
A122210000765,A1(幼稚園),22(静岡),2(公),1(本),焼津市立大富幼稚園,静岡県焼津市中根新田６３８,4250062,2020-12-22,,226840,
A122210000774,A1(幼稚園),22(静岡),2(公),9(廃),焼津市立東益津幼稚園,静岡県焼津市石脇下７９１－２,4250016,2020-12-22,2022-05-01,226842,
A122210000783,A1(幼稚園),22(静岡),2(公),1(本),焼津市立さつき幼稚園,静岡県焼津市大覚寺３丁目５番地の１,4250088,2020-12-22,,226843,
A122210000792,A1(幼稚園),22(静岡),2(公),1(本),掛川市立さかがわ幼稚園,静岡県掛川市伊達方４７４－１,4360005,2020-12-22,,226851,
A122210000809,A1(幼稚園),22(静岡),2(公),1(本),掛川市立三笠幼稚園,静岡県掛川市上西郷４１１６,4360342,2020-12-22,,226860,
A122210000818,A1(幼稚園),22(静岡),2(公),9(廃),富士市立富士川第一幼稚園,静岡県富士市岩淵１０７,4213305,2020-12-22,2025-05-01,226890,
A122210000827,A1(幼稚園),22(静岡),2(公),1(本),焼津市立静浜幼稚園,静岡県焼津市宗高８８,4210205,2020-12-22,,226940,
A122210000836,A1(幼稚園),22(静岡),2(公),1(本),焼津市立大井川西幼稚園,静岡県焼津市下江留２３００－１,4210218,2020-12-22,,226941,
A122210000845,A1(幼稚園),22(静岡),2(公),1(本),焼津市立大井川南幼稚園,静岡県焼津市吉永３３４－２,4210211,2020-12-22,,226942,
A122210000854,A1(幼稚園),22(静岡),2(公),2(分),焼津市立静浜幼稚園下藤分園,静岡県焼津市下小杉１３６１,4210202,2020-12-22,,226943,
A122210000863,A1(幼稚園),22(静岡),2(公),9(廃),御前崎市立白羽幼稚園,静岡県御前崎市白羽３５２０－４６,4371622,2020-12-22,2024-05-01,226951,
A122210000872,A1(幼稚園),22(静岡),2(公),9(廃),牧之原市立地頭方幼稚園,静岡県牧之原市地頭方２８１,4210532,2020-12-22,2024-05-01,226961,A222210000899
A122210000881,A1(幼稚園),22(静岡),2(公),9(廃),掛川市立土方幼稚園,静岡県掛川市上土方３２０番地の１,4371433,2020-12-22,2023-05-01,226980,A222310002154
A122210000890,A1(幼稚園),22(静岡),2(公),9(廃),掛川市立佐束幼稚園,静岡県掛川市小貫７７,4371407,2020-12-22,2023-05-01,226981,A222310002154
A122210000907,A1(幼稚園),22(静岡),2(公),9(廃),掛川市立中幼稚園,静岡県掛川市上土方３２０ー１,4371433,2020-12-22,2023-05-01,226982,A222310002154
A122210000916,A1(幼稚園),22(静岡),2(公),9(廃),掛川市立大渕幼稚園,静岡県掛川市大渕５９３５－６,4371302,2020-12-22,2022-05-01,226990,A222310002001
A122210000925,A1(幼稚園),22(静岡),2(公),9(廃),掛川市立横須賀幼稚園,静岡県掛川市西大渕１０１０,4371304,2020-12-22,2021-05-27,226991,A222310001949
A122210000934,A1(幼稚園),22(静岡),2(公),1(本),御前崎市立北こども園,静岡県御前崎市上朝比奈２６９２－１２,4371601,2020-12-22,,227012,
A122210000943,A1(幼稚園),22(静岡),2(公),1(本),御前崎市立はまおか幼稚園,静岡県御前崎市池新田５８１４,4371612,2020-12-22,,227014,
A122210000952,A1(幼稚園),22(静岡),2(公),9(廃),御前崎市立高松幼稚園,静岡県御前崎市門屋２０７０－１０３,4371615,2020-12-22,2024-05-01,227015,A122210000943
A122210000961,A1(幼稚園),22(静岡),2(公),9(廃),菊川市立小笠北幼稚園,静岡県菊川市嶺田８５,4371522,2020-12-22,2025-05-01,227032,
A122210000970,A1(幼稚園),22(静岡),2(公),1(本),浜松市立南の星幼稚園,静岡県浜松市中央区西島町１１４８－１,4300837,2020-12-22,,227100,
A122210000989,A1(幼稚園),22(静岡),2(公),1(本),浜松市立和田幼稚園,静岡県浜松市中央区薬師町２９１,4350017,2020-12-22,,227101,
A122210000998,A1(幼稚園),22(静岡),2(公),1(本),浜松市立与進幼稚園,静岡県浜松市中央区市野町２４０４－１,4350051,2020-12-22,,227102,
A122210001005,A1(幼稚園),22(静岡),2(公),1(本),浜松市立豊西幼稚園,静岡県浜松市中央区豊西町１５５１,4313102,2020-12-22,,227103,
A122210001014,A1(幼稚園),22(静岡),2(公),1(本),浜松市立笠井幼稚園,静岡県浜松市中央区笠井町４７８－１,4313107,2020-12-22,,227104,
